# Moment                
# CofR                  : (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)
#
# Time                  	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.00025641              	(0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)	(0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)	(0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)
0.000512821             	(0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)	(0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)	(0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)
0.000769231             	(0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)	(0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)	(0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)
0.00102564              	(0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)	(0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)	(0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)
0.00128205              	(0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)	(0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)	(0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)
0.00153846              	(0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)	(0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)	(0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)
0.00179487              	(0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)	(0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)	(0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)
0.00205128              	(0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)	(0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)	(0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)
0.00230769              	(0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)	(0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)	(0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)
0.0025641               	(0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)	(0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)	(0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)
0.00282051              	(0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)	(0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)	(0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)
0.00307692              	(0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)	(0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)	(0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)
0.00333333              	(0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)	(0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)	(0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)
0.00358974              	(0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)	(0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)	(0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)
0.00384615              	(0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)	(0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)	(0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)
0.00410256              	(0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)	(0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)	(0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)
0.00435897              	(0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)	(0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)	(0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)
0.00461538              	(0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)	(0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)	(0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)
0.00487179              	(0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)	(0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)	(0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)
0.00512821              	(0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)	(0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)	(0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)
0.00538462              	(0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)	(0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)	(0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)
0.00564103              	(0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)	(0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)	(0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)
0.00589744              	(0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)	(0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)	(0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)
0.00615385              	(0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)	(0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)	(0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)
0.00641026              	(0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)	(0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)	(0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)
0.00666667              	(0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)	(0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)	(0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)
0.00692308              	(0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)	(0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)	(0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)
0.00717949              	(0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)	(0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)	(0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)
0.0074359               	(0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)	(0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)	(0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)
0.00769231              	(0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)	(0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)	(0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)
0.00794872              	(0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)	(0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)	(0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)
0.00820513              	(0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)	(0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)	(0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)
0.00846154              	(0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)	(0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)	(0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)
