# Force coefficients    
# dragDir               : (1.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)
# sideDir               : (0.0000000000000000e+00 0.0000000000000000e+00 -1.0000000000000000e+00)
# liftDir               : (0.0000000000000000e+00 1.0000000000000000e+00 0.0000000000000000e+00)
# rollAxis              : (1.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)
# pitchAxis             : (0.0000000000000000e+00 0.0000000000000000e+00 -1.0000000000000000e+00)
# yawAxis               : (0.0000000000000000e+00 1.0000000000000000e+00 0.0000000000000000e+00)
# magUInf               : 5.0000000000000000e+00
# lRef                  : 1.0000000000000000e+00
# Aref                  : 1.0000000000000000e+00
# CofR                  : (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)
#
# Time                  	Cd                      	Cs                      	Cl                      	CmRoll                  	CmPitch                 	CmYaw                   	Cd(f)                   	Cd(r)                   	Cs(f)                   	Cs(r)                   	Cl(f)                   	Cl(r)                   
0.00434783              	2.5584346626316194e+01	8.3303492410215130e-01	-1.8091848112087561e+01	8.5699820300020402e-01	1.6948540611484052e+02	-1.5462514809874039e+00	1.3649171516158301e+01	1.1935175110157893e+01	-1.1297340189363283e+00	1.9627689430384796e+00	1.6043948205879673e+02	-1.7853133017088430e+02
0.00869565              	4.8786310607896333e+00	-3.7102698866984046e-01	-8.7246690419951545e-01	4.7723885455554510e-01	1.6105149615660679e+01	5.7538281570369365e-01	2.9165543849503619e+00	1.9620766758392716e+00	3.8986932136877339e-01	-7.6089631003861391e-01	1.5668916163560921e+01	-1.6541383067760435e+01
0.0130435               	4.8726855935366356e+00	-3.8832185723843704e-01	-8.8777164563028854e-01	9.5909525471812251e-01	1.6438801226959669e+01	-7.6659986808208169e-01	3.3954380514864404e+00	1.4772475420501952e+00	-9.6076079670130021e-01	5.7243893946286317e-01	1.5994915404144525e+01	-1.6882687049774812e+01
0.0173913               	4.8312923260568814e+00	-3.8496813610598790e-01	-9.1541575929011720e-01	1.0856932289061350e+00	1.6524924364022606e+01	-1.3375851071818725e+00	3.5013393919345757e+00	1.3299529341223058e+00	-1.5300691752348665e+00	1.1451010391288785e+00	1.6067216484377546e+01	-1.6982632243667666e+01
0.0217391               	4.8187672655104876e+00	-2.8650232174969048e-01	-9.4964076541925879e-01	8.4182348585291711e-01	1.6614108703016289e+01	-8.8262325897719240e-01	3.2512071186081610e+00	1.5675601469023266e+00	-1.0258744198520375e+00	7.3937209810234716e-01	1.6139288320306658e+01	-1.7088929085725919e+01
0.026087                	4.8008112681591326e+00	-2.9636034322248334e-01	-9.5336064165597789e-01	9.2784764005065190e-01	1.6474768398813204e+01	-1.1711388011980068e+00	3.3282532741302182e+00	1.4725579940289144e+00	-1.3193189728092485e+00	1.0229586295867652e+00	1.5998088077985216e+01	-1.6951448719641192e+01
0.0304348               	4.8136239032788373e+00	-4.1769938305128490e-01	-9.8227794624338105e-01	1.3481404281576104e+00	1.6655691643115290e+01	-2.1555646485739146e+00	3.7549523797970288e+00	1.0586715234818083e+00	-2.3644143400995570e+00	1.9467149570482722e+00	1.6164552669993601e+01	-1.7146830616236979e+01
0.0347826               	4.7908455485410766e+00	-4.0105281711396740e-01	-9.6426603369345321e-01	1.1928258346448382e+00	1.6412402292997037e+01	-1.7820978212551781e+00	3.5882486089153764e+00	1.2025969396257001e+00	-1.9826242298121619e+00	1.5815714126981943e+00	1.5930269276150311e+01	-1.6894535309843764e+01
0.0391304               	4.7764627681597691e+00	-4.2950866837236651e-01	-9.3494982045765807e-01	1.2889406945255431e+00	1.6229209959411268e+01	-2.1351306886878829e+00	3.6771720786054276e+00	1.0992906895543415e+00	-2.3498850228740662e+00	1.9203763545016996e+00	1.5761735049182439e+01	-1.6696684869640098e+01
0.0434783               	4.7496470312507109e+00	-4.5095628557473483e-01	-8.9949327265831203e-01	1.4970939111482522e+00	1.6000028707096671e+01	-2.6470142105413084e+00	3.8719174267736074e+00	8.7772960447710324e-01	-2.8724923533286759e+00	2.4215360677539408e+00	1.5550282070767516e+01	-1.6449775343425827e+01
0.0478261               	4.7190453383578488e+00	-4.7741234911087338e-01	-8.9073064470171570e-01	1.4620680600776408e+00	1.5829142500596911e+01	-2.6264138755730118e+00	3.8215907292565650e+00	8.9745460910128361e-01	-2.8651200501284486e+00	2.3877077010175749e+00	1.5383777178246053e+01	-1.6274507822947768e+01
0.0521739               	4.6843172623447842e+00	-8.2067255213023249e-01	-8.5769684578901173e-01	2.1377902104152318e+00	1.5591633108687301e+01	-4.0575358573311888e+00	4.4799488415876239e+00	2.0436842075716033e-01	-4.4678721333963054e+00	3.6471995812660727e+00	1.5162784685792795e+01	-1.6020481531581808e+01
0.0565217               	4.6081446637532038e+00	-8.1401127524446937e-01	-8.0763297353984953e-01	2.2396785603344584e+00	1.4978906223602582e+01	-4.3007985015650734e+00	4.5437508922110599e+00	6.4393771542143430e-02	-4.7078041391873082e+00	3.8937928639428385e+00	1.4575089736832657e+01	-1.5382722710372507e+01
0.0608696               	4.5863826786916473e+00	-8.1171476412111221e-01	-7.5142298756478232e-01	1.9325509250289576e+00	1.4608008297532969e+01	-3.5288749114060511e+00	4.2257422643747811e+00	3.6064041431686600e-01	-3.9347322934666074e+00	3.1230175293454949e+00	1.4232296803750577e+01	-1.4983719791315361e+01
0.0652174               	4.5220137721096059e+00	-5.8394965029806212e-01	-7.1426399182776523e-01	1.3864562328981400e+00	1.4321463067532427e+01	-2.4689758541606768e+00	3.6474631189529427e+00	8.7455065315666292e-01	-2.7609506793097078e+00	2.1770010290116457e+00	1.3964331071618545e+01	-1.4678595063446309e+01
0.0695652               	4.4620967969834107e+00	-5.3748986436739021e-01	-6.5914998106094103e-01	1.3428447669492520e+00	1.3831791928969935e+01	-2.6305643937015484e+00	3.5738931654409574e+00	8.8820363154245330e-01	-2.8993093258852434e+00	2.3618194615178534e+00	1.3502216938439464e+01	-1.4161366919500406e+01
0.073913                	4.4068216310318213e+00	-4.6460181613631912e-01	-6.2896461068312703e-01	1.3376815346249864e+00	1.3521086232429571e+01	-2.5548029933569425e+00	3.5410923501408971e+00	8.6572928089092427e-01	-2.7871039014251022e+00	2.3225020852887828e+00	1.3206603927088008e+01	-1.3835568537771135e+01
0.0782609               	4.3532842430651737e+00	-5.0706286732595229e-01	-6.0926475495469878e-01	1.3937983169473678e+00	1.3363192834116489e+01	-2.6944629059442025e+00	3.5704404384799546e+00	7.8284380458521907e-01	-2.9479943396071784e+00	2.4409314722812265e+00	1.3058560456639141e+01	-1.3667825211593838e+01
0.0826087               	4.3255097569421626e+00	-4.8407534569691130e-01	-5.9851229011088458e-01	1.3324529066164488e+00	1.2970901934942020e+01	-2.4427282561126753e+00	3.4952077850875298e+00	8.3030197185463250e-01	-2.6847659289611308e+00	2.2006905832642198e+00	1.2671645789886577e+01	-1.3270158079997463e+01
0.0869565               	4.2951191292028899e+00	-3.4718673079647328e-01	-5.7708718497067701e-01	9.8744251808462158e-01	1.2897609717973804e+01	-1.6958230681746240e+00	3.1350020826860665e+00	1.1601170465168233e+00	-1.8694164335728607e+00	1.5222297027763874e+00	1.2609066125488466e+01	-1.3186153310459142e+01
0.0913043               	4.2400353391552050e+00	-3.2880887105567613e-01	-5.4667708029232098e-01	9.6926417195755110e-01	1.2615839060463969e+01	-1.8356730585547001e+00	3.0892818415351537e+00	1.1507534976200513e+00	-2.0000774940825381e+00	1.6712686230268621e+00	1.2342500520317810e+01	-1.2889177600610129e+01
