# Region type :         patch peak
# Faces                 : 1946
# Area                  : 5.4056319568626655e+01
# Scale factor          : 1.0000000000000000e+00
# Time                  	areaAverage(p)	areaAverage(U)	areaAverage(vorticity)
0.1                     	-7.9216597443671233e-01	(0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)	(2.9449478402538076e-01 1.8406011983435875e+00 -5.0837865314969422e-01)
0.2                     	-7.9786567084408255e-01	(0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)	(4.9767555605327091e-01 1.3166618597810451e+00 -5.2591066871192882e-01)
0.3                     	-7.3258201143555468e-01	(0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)	(4.6828893763384039e-01 1.0098964059972748e+00 -7.1982889581998477e-01)
0.4                     	-7.4801122793193009e-01	(0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)	(2.9278861911822091e-01 7.4695173308271712e-01 -7.2367701483768987e-01)
0.5                     	-7.8175665811986328e-01	(0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)	(2.0847544493392406e-01 5.9475719572923880e-01 -8.9623058903810138e-01)
0.6                     	-1.0304487693054811e+00	(0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)	(-3.0559502083395845e-01 1.9395435406037370e-01 -1.1532929384053954e+00)
0.7                     	-6.6708527640649884e-01	(0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)	(8.2631749404298294e-02 1.9309267307792108e-01 -1.2033246446485710e+00)
0.8                     	-6.9128055041707270e-01	(0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)	(2.1775696079129497e-01 -3.0631956069437576e-02 -1.2736571772337661e+00)
0.9                     	-7.4699235177642753e-01	(0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)	(1.4305643892492662e-01 -6.5302067005157532e-02 -1.4252090643529443e+00)
1                       	-6.5314694140879082e-01	(0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)	(1.6856718212938893e-01 -2.4103442617894127e-01 -1.3745538653998495e+00)
1.1                     	-8.8145932194646093e-01	(0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)	(4.6728969613734364e-02 -1.9712004673078637e-01 -1.5582823286767933e+00)
1.2                     	-6.0613944329334990e-01	(0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)	(1.2755281190213019e-01 -7.0979275135361022e-02 -1.6411788676539651e+00)
1.3                     	-7.4385269443437496e-01	(0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)	(3.2145637956471279e-01 -1.3924780746843665e-01 -1.7319828255113632e+00)
1.4                     	-5.5878395564999406e-01	(0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)	(4.9760509703989975e-01 -2.6271725631577463e-02 -1.7035698167502979e+00)
1.5                     	-5.2604117610121948e-01	(0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)	(3.3203771659105213e-01 -1.6176497807183235e-01 -1.7604820987786185e+00)
1.6                     	-9.1472090167866926e-01	(0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)	(1.5658041868302378e-01 -2.1355933788146292e-01 -1.8391989214525617e+00)
1.7                     	-5.7748302221863201e-01	(0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)	(4.3035929315068687e-02 -1.8025578334815831e-01 -1.8968066661385909e+00)
1.8                     	-4.6176711835931450e-01	(0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)	(-6.4074653901048861e-03 -2.9378486338433679e-01 -1.9375781732810571e+00)
1.9                     	-5.9448527205968160e-01	(0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)	(1.6947875535210907e-01 -3.9673721722872402e-01 -1.9571439150208707e+00)
2                       	2.7068616577333038e-01	(0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)	(1.3745374163952095e-01 -3.5503328259913863e-01 -1.9087789631055838e+00)
2.1                     	1.5237009174152034e+00	(0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)	(3.0323975338776549e-01 -1.7244958956356962e-01 -2.0264367461826134e+00)
2.2                     	4.3280856831558773e-01	(0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)	(1.0093445285452531e+00 -2.9874307590726845e-01 -1.9107156232103355e+00)
