# Force coefficients    
# dragDir               : (1.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)
# sideDir               : (0.0000000000000000e+00 0.0000000000000000e+00 -1.0000000000000000e+00)
# liftDir               : (0.0000000000000000e+00 1.0000000000000000e+00 0.0000000000000000e+00)
# rollAxis              : (1.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)
# pitchAxis             : (0.0000000000000000e+00 0.0000000000000000e+00 -1.0000000000000000e+00)
# yawAxis               : (0.0000000000000000e+00 1.0000000000000000e+00 0.0000000000000000e+00)
# magUInf               : 5.0000000000000000e+01
# lRef                  : 1.0000000000000000e+00
# Aref                  : 1.0000000000000000e+00
# CofR                  : (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)
#
# Time                  	Cd                      	Cs                      	Cl                      	CmRoll                  	CmPitch                 	CmYaw                   	Cd(f)                   	Cd(r)                   	Cs(f)                   	Cs(r)                   	Cl(f)                   	Cl(r)                   
0.00434783              	2.5584346626316201e-01	8.3303492410215160e-03	-1.8091848112087566e-01	8.5699820300020428e-03	1.6948540611484055e+00	-1.5462514809874039e-02	1.3649171516158304e-01	1.1935175110157896e-01	-1.1297340189363281e-02	1.9627689430384797e-02	1.6043948205879677e+00	-1.7853133017088434e+00
0.00869565              	4.8786310607896344e-02	-3.7102698866984052e-03	-8.7246690419951565e-03	4.7723885455554522e-03	1.6105149615660685e-01	5.7538281570369380e-03	2.9165543849503622e-02	1.9620766758392721e-02	3.8986932136877354e-03	-7.6089631003861402e-03	1.5668916163560928e-01	-1.6541383067760443e-01
0.0130435               	4.8726855935366367e-02	-3.8832185723843716e-03	-8.8777164563028851e-03	9.5909525471812272e-03	1.6438801226959671e-01	-7.6659986808208166e-03	3.3954380514864407e-02	1.4772475420501956e-02	-9.6076079670130016e-03	5.7243893946286309e-03	1.5994915404144527e-01	-1.6882687049774814e-01
0.0173913               	4.8312923260568831e-02	-3.8496813610598801e-03	-9.1541575929011722e-03	1.0856932289061351e-02	1.6524924364022611e-01	-1.3375851071818727e-02	3.5013393919345770e-02	1.3299529341223065e-02	-1.5300691752348668e-02	1.1451010391288787e-02	1.6067216484377553e-01	-1.6982632243667670e-01
0.0217391               	4.8187672655104888e-02	-2.8650232174969054e-03	-9.4964076541925891e-03	8.4182348585291732e-03	1.6614108703016289e-01	-8.8262325897719256e-03	3.2512071186081619e-02	1.5675601469023269e-02	-1.0258744198520377e-02	7.3937209810234729e-03	1.6139288320306661e-01	-1.7088929085725918e-01
0.026087                	4.8008112681591331e-02	-2.9636034322248336e-03	-9.5336064165597815e-03	9.2784764005065211e-03	1.6474768398813208e-01	-1.1711388011980073e-02	3.3282532741302190e-02	1.4725579940289144e-02	-1.3193189728092490e-02	1.0229586295867656e-02	1.5998088077985220e-01	-1.6951448719641196e-01
0.0304348               	4.8136239032788387e-02	-4.1769938305128498e-03	-9.8227794624338137e-03	1.3481404281576105e-02	1.6655691643115295e-01	-2.1555646485739152e-02	3.7549523797970302e-02	1.0586715234818089e-02	-2.3644143400995576e-02	1.9467149570482727e-02	1.6164552669993604e-01	-1.7146830616236985e-01
0.0347826               	4.7908455485410770e-02	-4.0105281711396747e-03	-9.6426603369345332e-03	1.1928258346448384e-02	1.6412402292997041e-01	-1.7820978212551786e-02	3.5882486089153773e-02	1.2025969396257000e-02	-1.9826242298121625e-02	1.5815714126981947e-02	1.5930269276150316e-01	-1.6894535309843767e-01
0.0391304               	4.7764627681597706e-02	-4.2950866837236663e-03	-9.3494982045765843e-03	1.2889406945255432e-02	1.6229209959411267e-01	-2.1351306886878835e-02	3.6771720786054285e-02	1.0992906895543421e-02	-2.3498850228740667e-02	1.9203763545017002e-02	1.5761735049182438e-01	-1.6696684869640097e-01
0.0434783               	4.7496470312507116e-02	-4.5095628557473497e-03	-8.9949327265831224e-03	1.4970939111482525e-02	1.6000028707096675e-01	-2.6470142105413090e-02	3.8719174267736085e-02	8.7772960447710328e-03	-2.8724923533286765e-02	2.4215360677539415e-02	1.5550282070767518e-01	-1.6449775343425832e-01
