# Force                 
# CofR                  : (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)
#
# Time                  	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.00434783              	(3.1980433282895245e+02 -2.2614810140109458e+02 -1.0412936551276893e+01)	(2.6936068600918202e+02 -2.2517298292188411e+02 -1.0392929437219674e+01)	(5.0443646819770436e+01 -9.7511847921045158e-01 -2.0007114057218753e-02)
0.00869565              	(6.0982888259870428e+01 -1.0905836302493945e+01 4.6378373583730061e+00)	(1.1348623531007339e+01 -1.0025177926277117e+01 4.6579329923684352e+00)	(4.9634264728863087e+01 -8.8065837621682830e-01 -2.0095633995428849e-02)
0.0130435               	(6.0908569919207963e+01 -1.1097145570378608e+01 4.8540232154804643e+00)	(1.2014446422953736e+01 -1.0259092619005378e+01 4.8515086107015346e+00)	(4.8894123496254224e+01 -8.3805295137323055e-01 2.5146047789293326e-03)
0.0173913               	(6.0391154075711029e+01 -1.1442696991126466e+01 4.8121017013248499e+00)	(1.2166895661750431e+01 -1.0649037323453491e+01 4.7881357959448785e+00)	(4.8224258413960598e+01 -7.9365966767297469e-01 2.3965905379971404e-02)
0.0217391               	(6.0234590818881102e+01 -1.1870509567740736e+01 3.5812790218711315e+00)	(1.2618299360605189e+01 -1.1128246199991457e+01 3.5457047681260514e+00)	(4.7616291458275917e+01 -7.4226336774927970e-01 3.5574253745080046e-02)
0.026087                	(6.0010140851989171e+01 -1.1917008020699726e+01 3.7045042902810419e+00)	(1.2942704561820831e+01 -1.1230976821867301e+01 3.6585287084070561e+00)	(4.7067436290168338e+01 -6.8603119883242347e-01 4.5975581873985663e-02)
0.0304348               	(6.0170298790985477e+01 -1.2278474328042266e+01 5.2212422881410614e+00)	(1.3601316333548484e+01 -1.1652462278250679e+01 5.1553747119232591e+00)	(4.6568982457436995e+01 -6.2601204979158631e-01 6.5867576217802495e-02)
0.0347826               	(5.9885569356763462e+01 -1.2053325421168166e+01 5.0131602139245928e+00)	(1.3769431611535632e+01 -1.1489106258245886e+01 4.9372648073753203e+00)	(4.6116137745227832e+01 -5.6421916292228036e-01 7.5895406549272793e-02)
0.0391304               	(5.9705784601997124e+01 -1.1686872755720728e+01 5.3688583546545825e+00)	(1.4002062315870610e+01 -1.1181487189801121e+01 5.2883581447002248e+00)	(4.5703722286126514e+01 -5.0538556591960737e-01 8.0500209954357332e-02)
0.0434783               	(5.9370587890633892e+01 -1.1243665908228902e+01 5.6369535696841861e+00)	(1.4046485619694520e+01 -1.0792227843553762e+01 5.5605061640922999e+00)	(4.5324102270939370e+01 -4.5143806467514025e-01 7.6447405591885842e-02)
0.0478261               	(5.8988066729473118e+01 -1.1134133058771448e+01 5.9676543638859183e+00)	(1.4010773269827631e+01 -1.0736545367075294e+01 5.8903355184256396e+00)	(4.4977293459645487e+01 -3.9758769169615416e-01 7.7318845460278465e-02)
0.0521739               	(5.8553965779309820e+01 -1.0721210572362649e+01 1.0258406901627907e+01)	(1.3896873135961197e+01 -1.0373496724547014e+01 1.0185471892032243e+01)	(4.4657092643348619e+01 -3.4771384781563441e-01 7.2935009595664221e-02)
0.0565217               	(5.7601808296915053e+01 -1.0095412169248121e+01 1.0175140940555869e+01)	(1.3242441252169108e+01 -9.7901807373053380e+00 1.0121112369862807e+01)	(4.4359367044745944e+01 -3.0523143194278357e-01 5.4028570693060801e-02)
0.0608696               	(5.7329783483645606e+01 -9.3927873445597818e+00 1.0146434551513906e+01)	(1.3252508296803105e+01 -9.1254452472207710e+00 1.0110446941355706e+01)	(4.4077275186842499e+01 -2.6734209733901010e-01 3.5987610158199304e-02)
0.0652174               	(5.6525172151370079e+01 -8.9282998978470669e+00 7.2993706287257769e+00)	(1.2707183403636257e+01 -8.6911838113178383e+00 7.2657024985963323e+00)	(4.3817988747733821e+01 -2.3711608652922819e-01 3.3668130129444959e-02)
0.0695652               	(5.5776209962292640e+01 -8.2393747632617629e+00 6.7186233045923789e+00)	(1.2204488889987861e+01 -8.0325349483942805e+00 6.6790005571921327e+00)	(4.3571721072304783e+01 -2.0683981486748315e-01 3.9622747400246114e-02)
0.073913                	(5.5085270387897772e+01 -7.8620576335390888e+00 5.8075227017039905e+00)	(1.1749957261738444e+01 -7.6785520380640122e+00 5.7578806761879546e+00)	(4.3335313126159328e+01 -1.8350559547507689e-01 4.9642025516035727e-02)
0.0782609               	(5.4416053038314672e+01 -7.6158094369337359e+00 6.3382858415744057e+00)	(1.1314878131332438e+01 -7.4558019776271571e+00 6.2804777155065077e+00)	(4.3101174906982237e+01 -1.6000745930657895e-01 5.7808126067897925e-02)
0.0826087               	(5.4068871961777035e+01 -7.4814036263860597e+00 6.0509418212113921e+00)	(1.1201841917935958e+01 -7.3351217459652451e+00 5.9865746008870095e+00)	(4.2867030043841076e+01 -1.4628188042081414e-01 6.4367220324382204e-02)
0.0869565               	(5.3688989115036136e+01 -7.2135898121334634e+00 4.3398341349559164e+00)	(1.1054956874708820e+01 -7.0834479791393790e+00 4.2694732458085802e+00)	(4.2634032240327315e+01 -1.3014183299408461e-01 7.0360889147336389e-02)
0.0913043               	(5.3000441739440078e+01 -6.8334635036540119e+00 4.1101108881959521e+00)	(1.0590938262407814e+01 -6.7198274968166567e+00 4.0386528266718607e+00)	(4.2409503477032260e+01 -1.1363600683735532e-01 7.1458061524091385e-02)
0.0956522               	(5.2370132767966943e+01 -6.4372382400376535e+00 3.7854157195453335e+00)	(1.0178504466778755e+01 -6.3337926560200568e+00 3.7124257390419921e+00)	(4.2191628301188189e+01 -1.0344558401759679e-01 7.2989980503341267e-02)
0.1                     	(5.1706900027152642e+01 -6.4088388900204798e+00 3.6953239962976570e+00)	(9.7222081948562149e+00 -6.3225605619312404e+00 3.6199323620265669e+00)	(4.1984691832296427e+01 -8.6278328089239853e-02 7.5391634271090302e-02)
0.104348                	(5.1524704515702986e+01 -6.4451941427877459e+00 3.7596010847010763e+00)	(9.7428934652407548e+00 -6.3710467511117841e+00 3.6755829722424957e+00)	(4.1781811050462231e+01 -7.4147391675962182e-02 8.4018112458580513e-02)
0.108696                	(5.0961280273543672e+01 -6.2505461456045781e+00 2.0636987257162365e+00)	(9.3790556713953546e+00 -6.1909700993567851e+00 1.9670584913754341e+00)	(4.1582224602148315e+01 -5.9576046247792766e-02 9.6640234340802350e-02)
0.113043                	(5.0515897219997861e+01 -6.0649945102069474e+00 2.1954355818914042e+00)	(9.1272706035788840e+00 -6.0218963842525950e+00 2.0959211959033563e+00)	(4.1388626616418975e+01 -4.3098125954352681e-02 9.9514385988047752e-02)
0.117391                	(5.0240392746685181e+01 -6.3100171913736895e+00 3.7552530563422697e+00)	(9.0385422527447545e+00 -6.2877142838013915e+00 3.6628529619322099e+00)	(4.1201850493940427e+01 -2.2302907572298108e-02 9.2400094410060016e-02)
0.121739                	(5.0015121040082192e+01 -5.8155436084939245e+00 4.4198867143259815e+00)	(8.9971063299884477e+00 -5.8124442732937185e+00 4.3388429130064976e+00)	(4.1018014710093745e+01 -3.0993352002061936e-03 8.1043801319483549e-02)
0.126087                	(4.9859285453774348e+01 -5.7481053534815372e+00 4.2950946807563790e+00)	(9.0228967450130764e+00 -5.7607474075047485e+00 4.2372350222130253e+00)	(4.0836388708761270e+01 1.2642054023211682e-02 5.7859658543354169e-02)
0.130435                	(5.0093539211885783e+01 -6.2643092677455448e+00 7.4400055834102634e+00)	(9.4380491926495385e+00 -6.2926200863190491e+00 7.4173107950967614e+00)	(4.0655490019236247e+01 2.8310818573504398e-02 2.2694788313501729e-02)
0.134783                	(4.9602664155346368e+01 -6.1048010512442419e+00 4.9667850804754208e+00)	(9.1245491925139657e+00 -6.1475813475955023e+00 4.9745670995199287e+00)	(4.0478114962832400e+01 4.2780296351260752e-02 -7.7820190445081414e-03)
0.13913                 	(4.9371518993017922e+01 -5.8863223786383596e+00 5.5230070727698459e+00)	(9.0656439289122961e+00 -5.9477286080022571e+00 5.5332440386545381e+00)	(4.0305875064105628e+01 6.1406229363897773e-02 -1.0236965884692095e-02)
0.143478                	(4.9238071822712925e+01 -6.0771083989195622e+00 5.0950473420436060e+00)	(9.1025751237624384e+00 -6.1590397493832931e+00 5.1041253382558951e+00)	(4.0135496698950483e+01 8.1931350463730707e-02 -9.0779962122888268e-03)
0.147826                	(4.8835862094399474e+01 -5.9288242854309274e+00 4.5547888945961832e+00)	(8.8655560391841224e+00 -6.0288985119053962e+00 4.5707440134396320e+00)	(3.9970306055215353e+01 1.0007422647446836e-01 -1.5955118843448742e-02)
0.152174                	(4.8608935988296324e+01 -5.7829383388285800e+00 5.0663864986076685e+00)	(8.7967982965680740e+00 -5.8936376066195075e+00 5.0833483741922381e+00)	(3.9812137691728253e+01 1.1069926779092752e-01 -1.6961875584569304e-02)
0.156522                	(4.8452123190745546e+01 -5.5778965702821726e+00 4.7797927011835002e+00)	(8.7923673788938732e+00 -5.6944616785991427e+00 4.7927164855858200e+00)	(3.9659755811851674e+01 1.1656510831696970e-01 -1.2923784402319425e-02)
0.16087                 	(4.8385989955592763e+01 -5.7461858370208603e+00 4.6520365696280566e+00)	(8.8718230392336572e+00 -5.8697038598624491e+00 4.6709500765875074e+00)	(3.9514166916359102e+01 1.2351802284158886e-01 -1.8913506959451151e-02)
