# Moment                
# CofR                  : (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)
#
# Time                  	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.00434783              	(1.0712477537502552e+01 -1.9328143512342550e+01 -2.1185675764355069e+03)	(1.0634573731496822e+01 -2.4513146295236272e+01 -1.9992145738336496e+03)	(7.7903806005730242e-02 5.1850027828937213e+00 -1.1935300260185709e+02)
0.00869565              	(5.9654856819443145e+00 7.1922851962961722e+00 -2.0131437019575856e+02)	(5.9081643208488961e+00 2.0540456694305300e+00 -8.3916941832091808e+01)	(5.7321361095418730e-02 5.1382395268656422e+00 -1.1739742836366673e+02)
0.0130435               	(1.1988690683976534e+01 -9.5824983510260218e+00 -2.0548501533699590e+02)	(1.1891078743948478e+01 -1.4556503933766056e+01 -8.9920404161097593e+01)	(9.7611940028056038e-02 4.9740055827400340e+00 -1.1556461117589831e+02)
0.0173913               	(1.3571165361326688e+01 -1.6719813839773408e+01 -2.0656155455028261e+02)	(1.3425889263268253e+01 -2.1553772858757647e+01 -9.2747527090045750e+01)	(1.4527609805843583e-01 4.8339590189842401e+00 -1.1381402746023687e+02)
0.0217391               	(1.0522793573161467e+01 -1.1032790737214906e+01 -2.0767635878770363e+02)	(1.0352725043029681e+01 -1.5767925064562679e+01 -9.5529943117469571e+01)	(1.7006853013178538e-01 4.7351343273477724e+00 -1.1214641567023406e+02)
0.026087                	(1.1598095500633150e+01 -1.4639235014975089e+01 -2.0593460498516509e+02)	(1.1403138746354026e+01 -1.9268421837768436e+01 -9.5325173172730544e+01)	(1.9495675427912434e-01 4.6291868227933461e+00 -1.1060943181243456e+02)
0.0304348               	(1.6851755351970130e+01 -2.6944558107173936e+01 -2.0819614553894115e+02)	(1.6602111909301723e+01 -3.1377492367877263e+01 -9.9022606489684762e+01)	(2.4964344266840896e-01 4.4329342607033269e+00 -1.0917353904925641e+02)
0.0347826               	(1.4910322933060479e+01 -2.2276222765689731e+01 -2.0515502866246300e+02)	(1.4623020199325687e+01 -2.6574939468565223e+01 -9.7302150802776580e+01)	(2.8730273373479243e-01 4.2987167028754909e+00 -1.0785287785968642e+02)
0.0391304               	(1.6111758681569292e+01 -2.6689133608598542e+01 -2.0286512449264086e+02)	(1.5803875154808239e+01 -3.0887100724121662e+01 -9.6201731456806286e+01)	(3.0788352676105118e-01 4.1979671155231211e+00 -1.0666339303583457e+02)
0.0434783               	(1.8713673889353156e+01 -3.3087677631766361e+01 -2.0000035883870839e+02)	(1.8398757062407434e+01 -3.7202200069670930e+01 -9.4441888924921813e+01)	(3.1491682694572104e-01 4.1145224379045695e+00 -1.0555846991378660e+02)
